depth_a,density_a,swe_a,depth_b,density_b,swe_b,lat,lon,site,ice_type
9,0.313658397,28.22925577,25,0.434559453,108.6398631,79.9636544,-86.01067845,grid1,fyi
22,0.431604324,94.95295124,12,0.363558597,43.62703165,79.96343949,-86.00811677,grid1,fyi
14,0.336062569,47.04875962,14,0.348283026,48.75962361,79.96327663,-86.00548636,grid1,fyi
12,0.349301397,41.91616766,25,0.30453379,76.13344739,79.96309323,-86.00286526,grid1,fyi
18,0.441973196,79.55517536,28,0.381889283,106.9289991,79.96288084,-86.00048069,grid1,fyi
8,0.267322498,21.38579983,16,0.294054748,47.04875962,79.96269166,-85.99785581,grid1,fyi
11,0.38105607,41.91616766,20,0.389221557,77.84431138,79.96250692,-85.99522658,grid1,fyi
11,0.334396143,36.78357571,31,0.455310577,141.1462789,79.96234364,-85.99293932,grid1,fyi
13,0.414555504,53.89221557,11,0.38105607,41.91616766,79.96225479,-85.99214329,grid1,fyi
24,0.390647277,93.75534645,21,0.332396432,69.80325064,79.993974,-86.437322,grid2,fyi
13,0.273738238,35.58597092,23,0.33324655,76.64670659,79.994083,-86.439314,grid2,fyi
30,0.392358141,117.7074423,19,0.340371888,64.67065868,79.994084,-86.442068,grid2,fyi
8,0.166809239,13.34473909,14,0.254185507,35.58597092,79.994168,-86.443727,grid2,fyi
9,0.224313278,20.18819504,9,0.224313278,20.18819504,79.994406,-86.446657,grid2,fyi
17,0.299904393,50.98374679,36,0.345974717,124.5508982,79.994534,-86.448976,grid2,fyi
17,0.309968299,52.69461078,15,0.317080125,47.56201882,79.994728,-86.451522,grid2,fyi
13,0.260577746,33.87510693,16,0.265183918,42.42942686,79.994932,-86.453888,grid2,fyi
15,0.271457086,40.71856287,11,0.214635664,23.60992301,79.995075,-86.455957,grid2,fyi
32,0.280688623,89.82035928,24,0.338608497,81.26603935,80.08099887,-86.77921129,grid3,fyi
16,0.390290847,62.4465355,18,0.337420397,60.73567151,80.08063191,-86.77927709,grid3,fyi
20,0.355004277,71.00085543,9,0.446725596,40.20530368,80.0801714,-86.77900661,grid3,fyi
10,0.402053037,40.20530368,11,0.349949452,38.49443969,80.07980218,-86.77913485,grid3,fyi
29,0.351022094,101.7964072,47,0.380394227,178.7852866,80.07942148,-86.77928682,grid3,fyi
49,0.469614706,230.1112062,17,0.427715997,72.71171942,80.07903624,-86.77935597,grid3,fyi
